"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";
"2";"";"10-XX";"B3F-10XX";"PROG, RST";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";"";
"2";"";"LEDSMT1206";"1206";"LED_G, LED_R";"LED";"";"";"";"";"20";"";"";
"4";"";"PINHD-1X2";"1X02";"JP4, JP7, JP9, JP11";"PIN HEADER";"";"";"";"";"98";"";"";
"2";"";"PINHD-1X5";"1X05";"JP5, JP10";"PIN HEADER";"";"";"";"";"69";"";"";
"3";"";"PINHD-1X6";"1X06";"JP1, JP2, JP6";"PIN HEADER";"";"";"";"";"79";"";"";
"1";"";"SJ2W";"SJ_2";"SJ1";"SMD solder JUMPER";"";"";"";"";"7";"";"";
"1";"100";"RR1206";"R1206";"R25";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"100k";"RR1206";"R1206";"R1, R26";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"6";"100n";"CC1206";"C1206";"C1, C3, C4, C13, C15, C17";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"7";"10k";"RR1206";"R1206";"R2, R3, R4, R6, R22, R24, R28";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"6";"10n";"CC1206";"C1206";"C7, C8, C9, C10, C20, C21";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"3";"10u";"CC1210";"C1210";"C2, C12, C14";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"1";"150";"RR1206";"R1206";"R23";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"1";"150k";"RR1206";"R1206";"R19";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"1";"2.2k";"RR1206";"R1206";"R27";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"1";"27k";"RR1206";"R1206";"R20";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"33k";"RR1206";"R1206";"R5, R12";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"4.7u";"CC1210";"C1210";"C5, C16";"CAPACITOR, European symbol";"";"";"";"";"";"NONE";"C";
"1";"BSS131";"BSS131";"SOT23";"Q2";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"2";"BSS138";"BSS138";"SOT23";"Q3, Q5";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"1";"BZX84C 6V2";"BZX84CSMD";"TO236";"D2";"Z DIODE";"";"";"";"";"1";"";"";
"1";"ESP-WROOM-03";"ESP-WROOM-03";"ESP-WROOM-03";"U1";"";"";"";"unknown";"";"";"";"";
"1";"MIC5239S";"MIC5239S";"SOT223";"U2";"LDO REGULATOR";"";"";"";"";"";"";"";
"2";"SI2305CDS";"SI2305CDS";"SOT23";"Q1, Q4";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";
"2";"U.FL";"U.FL";"U.FL";"J1, J2";"U.FL Antenna Connector";"";"";"";"";"";"";"";
"1";"VT93N2";"VT93N2";"VT900";"OPH1";"Photoconductive Cell VT900 Series";"";"";"";"";"0";"";"";
"2";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"U3, U4";"868/915 MHz LoRa Radio Transceiver Module based on SX1276 chip";"";"";"";"";"";"";"";
